<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240213;111500;15540;15546;15504;15532;2603
240213;113000;15534;15538;15520;15530;1971
240213;114500;15532;15544;15524;15534;1003
240213;120000;15536;15550;15532;15544;1233
240213;121500;15544;15550;15536;15538;1098
240213;123000;15536;15538;15526;15536;1447
240213;124500;15534;15538;15458;15488;4282
240213;130000;15488;15510;15464;15488;4081
240213;131500;15488;15488;15422;15428;8199
240213;133000;15428;15462;15426;15446;3985
240213;134500;15442;15450;15438;15444;1485
240213;154500;15444;15450;15410;15414;3782
240213;160000;15414;15456;15410;15454;5818
240213;161500;15452;15452;15428;15440;2432
240213;163000;15438;15440;15426;15434;1768
240213;164500;15430;15434;15420;15424;2455
240213;170000;15424;15434;15410;15414;2558
240213;171500;15416;15420;15410;15414;1157
240213;173000;15414;15416;15400;15400;4508
240213;174500;15400;15408;15374;15376;3459
240213;180000;15374;15390;15370;15376;4674
240213;181500;15376;15406;15374;15390;2701
240213;183000;15390;15408;15386;15408;1514
240213;184500;15446;15446;15446;15446;7026
240213;190000;15440;15446;15406;15422;2116
240213;191500;15422;15436;15416;15434;410
240213;193000;15426;15436;15418;15418;441
240213;194500;15418;15440;15418;15440;480
240213;200000;15440;15442;15404;15416;782
240213;201500;15418;15418;15380;15388;1769
240213;203000;15394;15398;15382;15392;707
240213;204500;15390;15410;15390;15404;352
240213;210000;15408;15414;15400;15400;634
240213;211500;15400;15406;15390;15398;288
240213;213000;15396;15396;15390;15390;384
240213;214500;15396;15404;15388;15404;860
240213;220000;15404;15404;15382;15382;1194
240213;221500;15382;15394;15380;15394;994
240213;223000;15392;15394;15376;15384;878
240213;224500;15386;15394;15384;15392;411
240213;230000;15392;15392;15386;15386;301
240213;231500;15386;15388;15380;15380;612
240213;233000;15380;15386;15366;15372;2479
240213;234500;15370;15380;15366;15380;692
240214;100000;15412;15468;15384;15402;5193
240214;101500;15402;15418;15394;15396;2544
240214;103000;15396;15396;15386;15394;573
240214;113000;15390;15414;15354;15358;3668
240214;114500;15362;15364;15326;15336;4564
240214;120000;15338;15340;15304;15314;4931
240214;121500;15316;15316;15274;15292;7900
240214;123000;15296;15300;15246;15250;12030
240214;124500;15250;15252;15238;15250;5288
240214;130000;15250;15250;15200;15204;9476
240214;131500;15202;15248;15200;15232;4686
240214;133000;15232;15236;15202;15202;4341
240214;134500;15202;15212;15170;15178;9245
240214;140000;15178;15214;15178;15186;4235
240214;141500;15188;15188;15124;15164;11898
240214;143000;15166;15170;15150;15152;3601
240214;144500;15152;15178;15148;15176;4241
240214;150000;15174;15198;15172;15194;3690
240214;151500;15196;15196;15170;15176;1978
240214;153000;15176;15190;15170;15188;2430
240214;154500;15188;15196;15176;15180;2691
240214;160000;15180;15194;15176;15190;2894
240214;161500;15192;15228;15190;15216;5224
240214;163000;15214;15242;15208;15228;3920
240214;164500;15230;15240;15222;15232;1814
240214;170000;15232;15240;15216;15216;2016
240214;171500;15216;15228;15216;15226;947
240214;173000;15224;15228;15198;15208;3347
240214;174500;15206;15226;15198;15224;2188
240214;180000;15224;15238;15204;15230;2290
240214;181500;15236;15238;15218;15222;1114
240214;183000;15220;15234;15218;15220;1127
240214;184500;15248;15248;15248;15248;4870
240214;190000;15240;15240;15212;15218;594
240214;191500;15216;15220;15208;15214;542
240214;193000;15212;15216;15206;15206;825
240214;194500;15210;15220;15204;15208;680
240214;200000;15208;15210;15202;15206;679
240214;201500;15206;15210;15202;15204;520
240214;203000;15204;15212;15202;15212;253
240214;204500;15212;15212;15202;15204;833
240214;210000;15204;15210;15202;15202;584
240214;211500;15204;15212;15202;15212;338
240214;213000;15208;15214;15200;15200;761
240214;214500;15200;15204;15186;15186;893
240214;220000;15188;15200;15186;15200;483
240214;221500;15198;15198;15188;15188;757
240214;223000;15188;15190;15188;15190;228
240214;224500;15190;15190;15188;15190;283
240214;230000;15190;15190;15186;15186;990
240214;231500;15188;15190;15172;15172;1470
240214;233000;15176;15180;15174;15178;426
240214;234500;15180;15190;15178;15186;466
240215;100000;15216;15232;15172;15176;6882
240215;101500;15176;15188;15140;15158;6013
240215;103000;15156;15158;15106;15128;5431
240215;104500;15130;15130;15104;15120;6919
240215;110000;15118;15140;15114;15116;2191
240215;111500;15120;15128;15090;15116;4959
240215;113000;15114;15118;15100;15104;986
240215;114500;15106;15110;15070;15072;4942
240215;120000;15072;15088;15056;15084;2785
240215;121500;15082;15094;15030;15040;8624
240215;123000;15032;15062;15026;15030;3949
240215;124500;15032;15036;15006;15014;6804
240215;130000;15016;15048;15008;15008;4805
240215;131500;15008;15048;15006;15042;5919
240215;133000;15042;15042;15010;15022;2635
240215;134500;15022;15050;15012;15046;7986
240215;140000;15048;15050;15040;15044;2700
240215;141500;15044;15094;15042;15082;6994
240215;143000;15082;15084;15034;15074;6333
240215;144500;15076;15106;15070;15104;4553
240215;150000;15100;15126;15096;15120;6013
240215;151500;15116;15124;15098;15098;2909
240215;153000;15100;15124;15100;15120;1861
240215;154500;15118;15124;15098;15108;2353
240215;160000;15108;15122;15108;15116;2083
240215;161500;15118;15118;15098;15118;2303
240215;163000;15118;15118;15110;15114;1774
240215;164500;15116;15118;15102;15112;1634
240215;170000;15114;15118;15110;15114;1532
240215;171500;15112;15118;15106;15118;2277
240215;173000;15118;15118;15108;15118;2053
240215;174500;15116;15118;15110;15116;2480
240215;180000;15116;15178;15108;15160;6232
240215;181500;15164;15178;15156;15170;3056
240215;183000;15172;15178;15170;15176;1402
240215;184500;15210;15210;15210;15210;5911
240215;190000;15196;15196;15158;15160;2453
240215;191500;15158;15184;15154;15170;1290
240215;193000;15170;15182;15170;15174;352
240215;194500;15174;15176;15166;15174;422
240215;200000;15174;15176;15170;15174;344
240215;201500;15174;15180;15172;15176;988
240215;203000;15178;15180;15176;15180;243
240215;204500;15178;15180;15176;15180;697
240215;210000;15178;15180;15172;15174;312
240215;211500;15172;15180;15172;15172;658
240215;213000;15172;15180;15172;15176;194
240215;214500;15178;15178;15170;15174;784
240215;220000;15172;15176;15170;15170;175
240215;221500;15172;15172;15166;15166;519
240215;223000;15168;15172;15166;15170;222
240215;224500;15168;15170;15164;15164;427
240215;230000;15164;15170;15148;15150;1964
240215;231500;15148;15170;15136;15140;1871
240215;233000;15140;15176;15138;15176;950
240215;234500;15176;15178;15172;15172;622
240216;100000;15188;15260;15170;15250;10895
240216;101500;15258;15292;15220;15230;8979
240216;103000;15226;15252;15224;15244;2888
240216;104500;15244;15254;15230;15234;2655
240216;110000;15238;15248;15234;15248;2096
240216;111500;15248;15250;15222;15230;2444
240216;113000;15226;15256;15220;15250;4887
240216;114500;15244;15256;15190;15192;4665
240216;120000;15194;15248;15190;15228;4719
240216;121500;15228;15244;15228;15240;979
240216;123000;15238;15240;15216;15226;1442
240216;124500;15228;15230;15212;15226;1626
240216;130000;15228;15230;15212;15214;2811
240216;131500;15218;15230;15206;15228;1409
240216;133000;15230;15230;15210;15230;2403
240216;134500;15230;15230;15218;15222;1508
240216;140000;15220;15230;15218;15228;1298
240216;141500;15230;15246;15176;15182;6898
240216;143000;15182;15198;15142;15152;5516
240216;144500;15152;15160;15058;15076;14322
240216;150000;15076;15100;15044;15098;7238
240216;151500;15096;15100;15070;15074;3208
240216;153000;15078;15080;15010;15060;10012
240216;154500;15060;15086;15032;15084;3122
240216;160000;15084;15098;15030;15098;3291
240216;161500;15098;15100;15058;15078;3673
240216;163000;15078;15092;15060;15074;2191
240216;164500;15078;15090;15070;15084;1420
240216;170000;15082;15092;15072;15080;1246
240216;171500;15082;15096;15068;15092;3207
240216;173000;15094;15100;15090;15100;3485
240216;174500;15100;15100;15086;15096;1721
240216;180000;15096;15100;15072;15074;1813
240216;181500;15072;15086;15070;15078;959
240216;183000;15078;15098;15078;15090;861
240216;184500;15020;15020;15020;15020;5256
240216;190000;15032;15038;15026;15026;3553
240216;191500;15026;15048;15024;15040;1246
240216;193000;15038;15042;15030;15040;821
240216;194500;15040;15046;15030;15036;1558
240216;200000;15032;15042;15030;15036;301
240216;201500;15036;15042;15032;15034;404
240216;203000;15034;15040;15030;15038;387
240216;204500;15038;15044;15036;15040;533
240216;210000;15044;15044;15038;15038;275
240216;211500;15038;15040;15032;15032;531
240216;213000;15034;15034;15032;15034;371
240216;214500;15032;15032;15022;15024;603
240216;220000;15024;15038;15022;15038;502
240216;221500;15038;15038;15030;15038;384
240216;223000;15038;15042;15030;15034;708
240216;224500;15034;15040;15030;15030;357
240216;230000;15030;15030;15018;15018;770
240216;231500;15018;15034;15014;15032;470
240216;233000;15030;15034;15020;15030;657
240216;234500;15032;15040;15030;15036;409
240219;100000;15040;15086;15010;15018;7065
240219;101500;15020;15020;14846;14920;24500
240219;103000;14926;14960;14920;14944;5399
240219;104500;14942;14954;14920;14938;4627
