,code,year,hdi,country,epi,population,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
662,SEN,1970,0.12,,,,,,,
663,SRB,1970,0.39,,,,,,,
664,SLE,1970,0.09,,,,,,,
665,SGP,1970,0.36,,,,,,,
666,ZAF,1970,0.28,,,,,,,
667,KOR,1970,0.32,,,,,,,
668,ESP,1970,0.44,,,,,,,
669,LKA,1970,0.31,,,,,,,
670,SDN,1970,0.13,,,,,,,
671,SWE,1970,0.55,,,,,,,
672,CHE,1970,0.51,,,,,,,
673,SYR,1970,0.24,,,,,,,
674,TWN,1970,0.39,,,,,,,
675,TZA,1970,0.13,,,,,,,
676,THA,1970,0.28,,,,,,,
677,TGO,1970,0.14,,,,,,,
678,TTO,1970,0.42,,,,,,,
679,TUN,1970,0.21,,,,,,,
680,TUR,1970,0.26,,,,,,,
681,UGA,1970,0.15,,,,,,,
682,ARE,1970,0.29,,,,,,,
683,GBR,1970,0.53,,,,,,,
684,USA,1970,0.55,,,,,,,
685,URY,1970,0.44,,,,,,,
