<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZA;30;231127;130000;845.0000000;846.0000000;843.0000000;846.0000000;40
GAZA;30;231127;133000;846.5000000;846.5000000;846.5000000;846.5000000;20
GAZA;30;231127;143000;844.5000000;844.5000000;843.0000000;843.0000000;20
GAZA;30;231127;150000;843.0000000;843.0000000;843.0000000;843.0000000;10
GAZA;30;231127;163000;842.5000000;842.5000000;840.0000000;840.0000000;190
GAZA;30;231127;170000;838.0000000;838.0000000;838.0000000;838.0000000;30
GAZA;30;231127;173000;838.5000000;838.5000000;830.0000000;832.0000000;170
GAZA;30;231127;180000;832.5000000;832.5000000;816.5000000;828.5000000;240
GAZA;30;231127;183000;826.5000000;829.0000000;826.0000000;829.0000000;180
GAZA;30;231128;100000;820.0000000;853.5000000;796.0000000;853.5000000;690
GAZA;30;231128;103000;842.0000000;854.0000000;842.0000000;844.0000000;150
GAZA;30;231128;110000;844.0000000;844.0000000;844.0000000;844.0000000;10
GAZA;30;231128;113000;844.0000000;844.0000000;844.0000000;844.0000000;50
GAZA;30;231128;120000;844.0000000;844.0000000;844.0000000;844.0000000;20
GAZA;30;231128;130000;846.0000000;846.0000000;846.0000000;846.0000000;10
GAZA;30;231128;143000;845.0000000;845.0000000;845.0000000;845.0000000;10
GAZA;30;231128;153000;846.0000000;846.0000000;840.5000000;840.5000000;50
GAZA;30;231128;160000;844.5000000;850.0000000;842.0000000;849.5000000;80
GAZA;30;231128;163000;849.5000000;849.5000000;849.5000000;849.5000000;10
GAZA;30;231128;170000;850.0000000;850.0000000;850.0000000;850.0000000;10
GAZA;30;231128;173000;845.0000000;845.0000000;840.5000000;840.5000000;110
GAZA;30;231128;180000;840.0000000;854.0000000;840.0000000;854.0000000;140
GAZA;30;231128;183000;853.0000000;853.0000000;853.0000000;853.0000000;10
GAZA;30;231129;100000;854.0000000;854.0000000;802.5000000;852.5000000;580
GAZA;30;231129;103000;839.0000000;848.5000000;839.0000000;848.5000000;150
GAZA;30;231129;110000;839.5000000;839.5000000;839.5000000;839.5000000;20
GAZA;30;231129;113000;840.0000000;847.5000000;840.0000000;847.5000000;50
GAZA;30;231129;120000;840.0000000;840.0000000;833.0000000;833.0000000;200
GAZA;30;231129;123000;837.5000000;837.5000000;833.0000000;833.0000000;120
GAZA;30;231129;133000;840.5000000;840.5000000;840.5000000;840.5000000;30
GAZA;30;231129;140000;840.5000000;840.5000000;810.5000000;818.0000000;540
GAZA;30;231129;143000;825.0000000;829.5000000;825.0000000;829.5000000;30
GAZA;30;231129;150000;821.5000000;822.0000000;805.5000000;808.5000000;340
GAZA;30;231129;153000;812.0000000;824.0000000;812.0000000;822.0000000;290
GAZA;30;231129;160000;819.0000000;824.5000000;819.0000000;819.0000000;30
GAZA;30;231129;163000;815.5000000;815.5000000;813.0000000;813.0000000;220
GAZA;30;231129;170000;815.0000000;829.0000000;815.0000000;829.0000000;410
GAZA;30;231129;173000;829.0000000;829.0000000;818.5000000;824.5000000;90
GAZA;30;231129;180000;818.0000000;823.5000000;818.0000000;818.5000000;40
GAZA;30;231129;183000;819.5000000;819.5000000;818.5000000;818.5000000;30
GAZA;30;231130;100000;816.0000000;816.0000000;800.0000000;800.0000000;390
GAZA;30;231130;103000;808.0000000;815.0000000;808.0000000;815.0000000;160
GAZA;30;231130;110000;814.0000000;826.0000000;809.5000000;809.5000000;550
GAZA;30;231130;113000;809.5000000;809.5000000;798.0000000;802.0000000;180
GAZA;30;231130;123000;802.0000000;802.5000000;790.0000000;790.0000000;320
GAZA;30;231130;130000;797.0000000;797.0000000;797.0000000;797.0000000;10
GAZA;30;231130;133000;797.0000000;806.0000000;797.0000000;806.0000000;80
